Date|Category|Item|Amount|Regular ?|Remark
8/15/2015|Cook|Snack|$45.00 |N|Godiva ice-cream
8/15/2015|Drive|泊車|$36.00 |N|CP2
8/15/2015|Drive|Toll|$25.00 |Y|東隧
8/15/2015|Meal|Dinner|$240.00 |Y|百樂門
8/15/2015|Cook|無花果|$64.50 |Y|啟泰
8/31/2015|Bill|Insurance|$1,652.00 |Y|
8/16/2015|Meal|Tea|$78.00 |Y|御前上茶
8/16/2015|Drive|Toll|$40.00 |Y|紅隧 x 2
8/16/2015|Meal|Lunch|$66.00 |Y|堅道
8/16/2015|Meal|Dinner|$138.00 |Y|Pizza Hut
8/16/2015|Domestic|雜貨|$173.00 |Y|洗衣液 / 厨紙
8/17/2015|Transport|MTR|$6.50 |N|買完安記返家
8/17/2015|Cook|買餸|$426.00 |Y|百佳 - 有急涷螺 / 鮑
8/17/2015|Cook|安記|$516.60 |N|黨參 / 元貝 / 冬菇 / 北旗
8/17/2015|Meal|Breakfast|$29.00 |Y|北海道(美孚)
8/18/2015|Transport|MTR|$10.40 |Y|
8/18/2015|Meal|Breakfast|$22.00 |Y|
8/18/2015|Meal|Lunch|$256.00 |Y|Buy Johnny lunch 
8/18/2015|Transport|MTR|$12.40 |Y|
8/18/2015|Cook|Chicken|$346.00 |Y|嘉美雞 x 2
8/18/2015|Domestic|雜貨|$100.30 |Y|洗手液 / 粒圾袋 
8/18/2015|Cook|Drink|$16.00 |N|歇腳亭
8/18/2015|Cook|Snack|$48.00 |N|雪糕
8/18/2015|Bill|中點|$240.00 |Y|
8/19/2015|Transport|MTR|$14.80 |Y|
8/19/2015|Transport|MTR|$12.30 |Y|來回旺角
8/19/2015|Transport|MTR|$12.40 |Y|
8/20/2015|Transport|MTR|$14.80 |Y|
8/20/2015|Meal|Breakfast|$22.00 |Y|
8/20/2015|Transport|MTR|$12.40 |Y|
8/20/2015|Cook|買餸|$45.80 |Y|雞蛋 / QOO
8/20/2015|Transport|Tram|$2.30 |N|去中環
8/20/2015|Meal|Lunch|$35.00 |Y|金銀利
8/19/2015|Jinny|百日宴|$1,800.00 |N|訂
8/21/2015|Meal|Lunch|$81.00 |Y|四季 悅
8/21/2015|Transport|MTR|$400.00 |Y|都會票
8/21/2015|Cook|Bread|$13.00 |Y|美心麵包
8/21/2015|Cook|買餸|$173.00 |Y|
8/21/2015|Meal|Breakfast|$14.00 |Y|腸粉 / 燒賣
8/22/2015|Meal|Lunch|$139.70 |Y|墾丁茶室
8/22/2015|Drive|泊車|$46.00 |N|海港城
8/22/2015|Jinny|Clothes|$591.00 |Y|Chickeduck
8/23/2015|Cook|Snack|$9.70 |Y|Coke
8/23/2015|Drive|泊車|$48.00 |N|IFC
8/23/2015|Meal|Lunch|$214.50 |Y|EXP
8/23/2015|Jinny|奶粉|$299.00 |Y|
8/23/2015|Drive|Detailer|$129.00 |Y|ParkNShop
8/23/2015|Jinny|奶嘴夾|$19.00 |N|ParkNShop
8/24/2015|Cook|Snack|$28.90 |Y|Lemon tea
8/24/2015|Meal|Breakfast|$22.00 |Y|美心西餅
8/24/2015|Meal|Lunch|$54.00 |Y|泰國人海南雞
8/25/2015|Meal|Breakfast|$12.00 |Y|三文治
8/25/2015|Meal|Lunch|$50.00 |Y|銳記
8/25/2015|Misc|iPhone|$999.00 |N|fix screen
8/25/2015|Cook|買餸|$33.00 |Y|organic pork
8/25/2015|Jinny|Accessories|$9.20 |N|碗
8/25/2015|Domestic|雜貨|$90.10 |Y|洗頭水
8/25/2015|Cook|Drink|$16.00 |N|歇腳亭
8/22/2015|Meal|Dinner|$923.00 |Y|太子大廈 - just Chee
8/25/2015|Meal|Breakfast|$16.00 |Y|McDonald
8/25/2015|Domestic|萬能插蘇|$22.00 |N|海富
8/25/2015|Transport|Taxi|$110.00 |Y|來回健康院
8/26/2015|Jinny|退熱貼|$24.90 |Y|
8/26/2015|Jinny|奶粉|$180.00 |Y|
8/26/2015|Cook|買餸|$10.00 |Y|木瓜
8/26/2015|Meal|Lunch|$29.00 |Y|譚仔
8/27/2015|Cook|Drink|$88.00 |Y|Starbucks
8/27/2015|Meal|Breakfast|$16.00 |Y|牛肉 / 燒賣
8/27/2015|Cook|買餸|$24.40 |Y|生抽 / 粟粉
8/27/2015|Bill|Netvigator|$238.00 |Y|
8/28/2015|Cook|買餸|$1,000.00 |Y|玫瑰
8/28/2015|Bill|Park|$2,655.00 |Y|
8/28/2015|Cook|Bread|$13.00 |Y|美心麵包
8/28/2015|Cook|買餸|$94.50 |Y|ParkNShop
8/28/2015|Misc|Printing|$4.50 |N|圖書館
8/30/2015|Drive|Toll|$50.00 |Y|東隧 x 2
